id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
250,Manhattan Murder Mystery,en,,,1993,Film,
251,Mary Shelley's Frankenstein,en,,,1994,Film,
252,Maverick,en,,,1994,Film,
253,Meatballs Part II,en,,,1984,Film,
254,Meet Me in St. Louis,en,,,1944,Film,
255,Memphis Belle,en,,,1990,Film,
256,Men of Respect,en,,,1990,Film,
257,Midnight Cowboy,en,,,1969,Film,
258,Midnight Express,en,,,1978,Film,
259,Misery,en,,,1990,Film,
260,Mo' Money,en,,,1992,Film,
261,Money Train,en,,,1995,Film,
262,Monty Python and the Holy Grail,en,,,1975,Film,
263,Moonstruck,en,,,1990,Film,
264,Moonwalker,en,,,1988,Film,
265,Mortal Thoughts,en,,,1991,Film,
266,Moscow on the Hudson,en,,,1984,Film,
267,"Motown 25: Yesterday, Today, Forever",en,,,1983,Film,
268,Moving,en,,,1988,Film,
269,Mr. Destiny,en,,,1990,Film,
270,Murder on the Orient Express,en,,,1974,Film,
271,Mutiny on the Bounty,en,,,1935,Film,
272,My Best Friend's Wedding,en,,,1997,Film,
273,My Blue Heaven,en,,,1990,Film,
274,My Girl,en,,,1991,Film,
275,My Girl 2,en,,,1994,Film,
276,My Life,en,,,1993,Film,
277,My Uncle,en,,,1958,Film,
278,Naked Gun 33 1/3: The Final Insult,en,,,1994,Film,
279,Nanami: The Inferno of First Love,en,,,1968,Film,
280,National Gallery of Art: A Treasury of Masterpieces,en,,,1983,Film,
281,National Lampoon's Christmas Vacation,en,,,1989,Film,
282,National Lampoon's European Vacation,en,,,1985,Film,
283,National Velvet,en,,,1944,Film,
284,Necessary Roughness,en,,,1991,Film,
285,New Jack City,en,,,1991,Film,
286,Next of Kin,en,,,1989,Film,
287,Ninotchka,en,,,1939,Film,
288,Not Without My Daughter,en,,,1991,Film,
289,Nothing But Trouble,en,,,1991,Film,
290,Nowhere to Run,en,,,1993,Film,
291,Nuts,en,,,1987,Film,
292,Old Gringo,en,,,1989,Film,
293,Oscar's Greatest Moments,en,,,1992,Film,
294,Other People's Money,en,,,1991,Film,
295,Out for Justice,en,,,1991,Film,
296,Pale Rider,en,,,1985,Film,
297,Patriot Games,en,,,1992,Film,
298,Pet Sematary,en,,,1989,Film,
299,Philadelphia,en,,,1993,Film,
300,"Planes, Trains and Automobiles",en,,,1987,Film,
301,"Play It Again, Sam",en,,,1972,Film,
302,Poetic Justice,en,,,1993,Film,
303,Police Academy,en,,,1984,Film,
304,Popcorn,en,,,1991,Film,
305,Postcards from the Edge,en,,,1990,Film,
306,Prancer,en,,,1989,Film,
307,Presumed Innocent,en,,,1990,Film,
308,Pretty in Pink,en,,,1986,Film,
309,Pretty Woman,en,,,1990,Film,
310,Pump Up the Volume,en,,,1990,Film,
311,Quick Change,en,,,1990,Film,
312,Raging Bull,en,,,1980,Film,
313,Raiders of the Lost Ark,en,,,1981,Film,
314,Rain Man,en,,,1988,Film,
315,Rambling Rose,en,,,1991,Film,
316,Regarding Henry,en,,,1991,Film,
317,Revenge,en,,,1990,Film,
318,Reversal of Fortune,en,,,1990,Film,
319,Ricochet,en,,,1992,Film,
320,Risky Business,en,,,1983,Film,
321,River's Edge,en,,,1986,Film,
322,Road House,en,,,1989,Film,
323,Robin Hood: Prince of Thieves,en,,,1991,Film,
324,Rock-A-Doodle,en,,,1991,Film,
325,Rocky,en,,,1976,Film,
326,Rocky V,en,,,1990,Film,
